name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR02C11,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR02C12,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR02C13,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
KR02C14,2.30103,0.5,1.30103,3.30103,2.31144,0.5,1.31144,3.31144
KR02C15,2.30103,0.5,1.30103,3.30103,2.29034,0.5,1.29034,3.29034
KR02C16,2.30103,0.5,1.30103,3.30103,2.29032,0.5,1.29032,3.29032
KR02C17,2.30103,0.5,1.30103,3.30103,2.29006,0.5,1.29006,3.29006
KR02C18,2.30103,0.5,1.30103,3.30103,2.29027,0.5,1.29027,3.29027
KR02C19,2.30103,0.5,1.30103,3.30103,2.30569,0.5,1.30569,3.30569
KR02C20,2.30103,0.5,1.30103,3.30103,2.30009,0.5,1.30009,3.30009
KR02C21,2.30103,0.5,1.30103,3.30103,2.29488,0.5,1.29488,3.29488
KR02C22,2.30103,0.5,1.30103,3.30103,2.29513,0.5,1.29513,3.29513
KR02C23,2.30103,0.5,1.30103,3.30103,2.28734,0.5,1.28734,3.28733
KR02C24,2.30103,0.5,1.30103,3.30103,2.29945,0.499999,1.29945,3.29945
KR02C25,2.30103,0.5,1.30103,3.30103,2.30082,0.499999,1.30083,3.30082
KR02C26,2.30103,0.5,1.30103,3.30103,2.28253,0.499998,1.28253,3.28252
KR02C27,2.30103,0.5,1.30103,3.30103,2.30541,0.499996,1.30542,3.3054
KR02C28,2.30103,0.5,1.30103,3.30103,2.30549,0.499992,1.3055,3.30547
KR02C29,2.30103,0.5,1.30103,3.30103,2.29113,0.499986,1.29115,3.2911
KR02C30,2.30103,0.5,1.30103,3.30103,2.2811,0.499973,1.28115,3.28105
KR02C31,2.30103,0.5,1.30103,3.30103,2.28677,0.499951,1.28687,3.28668
KR02C32,2.30103,0.5,1.30103,3.30103,2.29257,0.499908,1.29276,3.29239
KR02C33,2.30103,0.5,1.30103,3.30103,2.28425,0.499822,1.2846,3.28389
KR02C34,2.30103,0.5,1.30103,3.30103,2.28499,0.4996,1.28579,3.28419
KR02C35,2.30103,0.5,1.30103,3.30103,2.30427,0.499731,1.30481,3.30373
KR02C36,2.30103,0.5,1.30103,3.30103,2.41068,0.499027,1.41263,3.40874
KR02C37,2.30103,0.5,1.30103,3.30103,2.42822,0.498682,1.43086,3.42559
KR02C38,2.30103,0.5,1.30103,3.30103,2.44291,0.498849,1.44521,3.44061
KR02C39,2.30103,0.5,1.30103,3.30103,2.43465,0.498782,1.43708,3.43221
KR02C40,2.30103,0.5,1.30103,3.30103,2.43111,0.499012,1.43309,3.42914
KR02C41,2.30103,0.5,1.30103,3.30103,2.44791,0.49877,1.45037,3.44545
KR02C42,2.30103,0.5,1.30103,3.30103,2.47803,0.498442,1.48114,3.47491
KR02C43,2.30103,0.5,1.30103,3.30103,2.43693,0.498512,1.43991,3.43395
KR02C44,2.30103,0.5,1.30103,3.30103,2.50887,0.498341,1.51219,3.50555
KR02C45,2.30103,0.5,1.30103,3.30103,2.46459,0.498419,1.46775,3.46143
KR02C46,2.30103,0.5,1.30103,3.30103,2.51964,0.498072,1.5235,3.51578
KR02C47,2.30103,0.5,1.30103,3.30103,2.54839,0.497509,1.55337,3.5434
KR02C48,2.30103,0.5,1.30103,3.30103,2.53376,0.496941,1.53988,3.52764
KR02C49,2.30103,0.5,1.30103,3.30103,2.52801,0.496001,1.53601,3.52001
KR02C50,2.30103,0.5,1.30103,3.30103,2.56919,0.495071,1.57905,3.55934
KR02C51,2.30103,0.5,1.30103,3.30103,2.59375,0.492982,1.60779,3.57972
KR02C52,2.30103,0.5,1.30103,3.30103,2.61487,0.492506,1.62986,3.59988
KR02C53,2.30103,0.5,1.30103,3.30103,2.6338,0.493185,1.64743,3.62017
KR02C54,2.30103,0.5,1.30103,3.30103,2.79749,0.495387,1.80671,3.78826
KR02C55,2.30103,0.5,1.30103,3.30103,2.56314,0.488391,1.58635,3.53992
KR02C56,2.30103,0.5,1.30103,3.30103,2.55266,0.462889,1.62688,3.47844
KR02C57,2.30103,0.5,1.30103,3.30103,2.71474,0.475977,1.76278,3.66669
KR02C58,2.30103,0.5,1.30103,3.30103,2.6562,0.483334,1.68953,3.62287
KR02C59,2.30103,0.5,1.30103,3.30103,2.77231,0.487079,1.79815,3.74647
KR02C60,2.30103,0.5,1.30103,3.30103,2.60823,0.492774,1.62268,3.59377
KR03C01,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR03C02,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C03,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C04,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C05,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C06,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C07,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C08,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C09,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C10,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C11,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C12,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C13,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR03C14,2.30103,0.5,1.30103,3.30103,2.31144,0.5,1.31144,3.31144
KR03C15,2.30103,0.5,1.30103,3.30103,2.31144,0.5,1.31144,3.31144
KR03C16,2.30103,0.5,1.30103,3.30103,2.29034,0.5,1.29034,3.29034
KR03C17,2.30103,0.5,1.30103,3.30103,2.29028,0.5,1.29028,3.29028
KR03C18,2.30103,0.5,1.30103,3.30103,2.29011,0.5,1.29011,3.29011
KR03C19,2.30103,0.5,1.30103,3.30103,2.29631,0.5,1.29631,3.29631
KR03C20,2.30103,0.5,1.30103,3.30103,2.30565,0.5,1.30565,3.30565
KR03C21,2.30103,0.5,1.30103,3.30103,2.30001,0.5,1.30001,3.30001
KR03C22,2.30103,0.5,1.30103,3.30103,2.30536,0.5,1.30536,3.30536
KR03C23,2.30103,0.5,1.30103,3.30103,2.29331,0.5,1.29331,3.29331
KR03C24,2.30103,0.5,1.30103,3.30103,2.3001,0.5,1.3001,3.3001
KR03C25,2.30103,0.5,1.30103,3.30103,2.28322,0.499999,1.28322,3.28322
KR03C26,2.30103,0.5,1.30103,3.30103,2.29778,0.499999,1.29778,3.29778
KR03C27,2.30103,0.5,1.30103,3.30103,2.28677,0.499997,1.28677,3.28676
KR03C28,2.30103,0.5,1.30103,3.30103,2.29474,0.499995,1.29475,3.29473
KR03C29,2.30103,0.5,1.30103,3.30103,2.30099,0.499991,1.301,3.30097
KR03C30,2.30103,0.5,1.30103,3.30103,2.30869,0.499982,1.30872,3.30865
KR03C31,2.30103,0.5,1.30103,3.30103,2.28102,0.499966,1.28109,3.28095
KR03C32,2.30103,0.5,1.30103,3.30103,2.30455,0.499932,1.30468,3.30441
KR03C33,2.30103,0.5,1.30103,3.30103,2.28338,0.499846,1.28369,3.28307
KR03C34,2.30103,0.5,1.30103,3.30103,2.26055,0.49945,1.26164,3.25945
KR03C35,2.30103,0.5,1.30103,3.30103,2.2798,0.499497,1.28081,3.2788
KR03C36,2.30103,0.5,1.30103,3.30103,2.43009,0.498445,1.4332,3.42698
KR03C37,2.30103,0.5,1.30103,3.30103,2.44407,0.498383,1.44731,3.44084
KR03C38,2.30103,0.5,1.30103,3.30103,2.41672,0.498833,1.41905,3.41438
KR03C39,2.30103,0.5,1.30103,3.30103,2.41249,0.498628,1.41523,3.40975
KR03C40,2.30103,0.5,1.30103,3.30103,2.43055,0.4988,1.43295,3.42815
KR03C41,2.30103,0.5,1.30103,3.30103,2.45365,0.498475,1.4567,3.4506
KR03C42,2.30103,0.5,1.30103,3.30103,2.43294,0.498358,1.43622,3.42965
